Fecha,Duración media de la sesión,Búsquedas orgánicas,Rebotes,Salidas,Usuarios nuevos,Sesiones,Valor medio de pedido,Tasa de conversión de comercio electrónico,Número de unidades agregadas al carrito,Valor por sesión,Número de veces que el producto que ha retirado del carrito,Transacciones,Porcentaje compra/detalle,Porcentaje carrito/detalle,Ingresos,CTR de la lista de productos,Clics de la lista de productos,Sesiones con búsquedas,Sesiones con evento,Número de pagos de productos,Páginas/sesión,Cantidad,Compras Redsys,Compras Paypal
20171203,0:01:55,482,289,1759,886,1772,"48,22 ","0,68 ",215,"0,33 ",60,12,"1,38 ","8,97 ","578,69 ","2,23 ",1116,7,1463,215,"3,02",27,"100,00 ","66,67 "
20171125,0:02:04,481,607,3747,1970,3781,"31,26 ","1,56 ",542,"0,49 ",183,59,"2,57 ","14,10 ","1.844,42 ","2,14 ",2554,15,3112,408,"3,21",95,"282,35 ","94,12 "
20170916,0:02:48,477,110,1139,637,1152,"34,78 ","0,87 ",137,"0,30 ",53,10,"0,99 ","10,24 ","347,76 ","2,21 ",1002,5,1028,101,"3,97",13,"160,00 ","40,00 "
20171020,0:02:05,476,252,1753,939,1772,"36,66 ","1,19 ",224,"0,43 ",79,21,"2,00 ","11,77 ","769,77 ","2,61 ",1362,4,1497,218,"3,39",37,"450,00 ","100,00 "
20171026,0:02:14,476,256,2045,1046,2061,"30,66 ","1,60 ",186,"0,49 ",61,33,"2,34 ","8,70 ","1.011,71 ","2,25 ",1483,7,1779,192,"3,4",48,"242,86 ","257,14 "
20170517,0:02:41,475,222,3127,1809,3158,"35,42 ","2,09 ",517,"0,74 ",203,66,"3,72 ","14,61 ","2.337,52 ","3,79 ",3837,13,2901,509,"3,98",134,"0,00 ","0,00 "
20170403,0:02:28,473,187,2001,1156,2008,"37,31 ","1,69 ",275,"0,63 ",117,34,"2,80 ","11,54 ","1.268,46 ","2,83 ",1569,8,1803,271,"3,39",63,"225,00 ","137,50 "
20171114,0:02:10,473,314,2259,1305,2280,"32,67 ","2,41 ",290,"0,79 ",107,55,"3,38 ","11,63 ","1.796,70 ","2,66 ",1638,5,1930,234,"3,26",83,"400,00 ","120,00 "
20170524,0:02:35,465,198,2720,1597,2738,"37,41 ","2,56 ",412,"0,96 ",154,70,"5,19 ","15,07 ","2.618,51 ","3,62 ",2971,14,2511,334,"3,67",141,"0,00 ","0,00 "
20170424,0:02:48,464,153,1408,750,1419,"34,95 ","1,69 ",185,"0,59 ",54,24,"2,39 ","10,72 ","838,72 ","2,44 ",1140,5,1242,171,"3,73",43,"242,86 ","85,71 "
