,DMS,Visitas,Rebotes,Salidas,Usuarios nuevos,Sesiones,VMP,CR,UNC,VS,NVPRC,TR,PCOD,PCRD,Ingresos,CTRLP,CLP,SB,SE,NPP,Cantidad,CRED,CPAY
74,134,476,256,2045,1046,2061,0.3066,0.016,186,0.0049,61,33,0.023399999999999997,0.087,0.01011,0.0225,1483,7,1779,192,48,2.42,2.57
75,161,475,222,3127,1809,3158,0.3542,0.0209,517,0.0074,203,66,0.037200000000000004,0.1461,0.023370000000000002,0.0379,3837,13,2901,509,134,0.0,0.0
76,148,473,187,2001,1156,2008,0.37310000000000004,0.0169,275,0.0063,117,34,0.027999999999999997,0.11539999999999999,0.01268,0.028300000000000002,1569,8,1803,271,63,2.25,1.37
77,130,473,314,2259,1305,2280,0.3267,0.0241,290,0.0079,107,55,0.0338,0.11630000000000001,0.01796,0.026600000000000002,1638,5,1930,234,83,4.0,1.2
78,155,465,198,2720,1597,2738,0.3741,0.0256,412,0.0096,154,70,0.0519,0.1507,0.02618,0.0362,2971,14,2511,334,141,0.0,0.0
79,168,464,153,1408,750,1419,0.34950000000000003,0.0169,185,0.0059,54,24,0.0239,0.1072,8.38,0.024399999999999998,1140,5,1242,171,43,2.42,0.85
80,159,464,234,2757,1823,2776,0.3344,0.0259,304,0.0087,105,72,0.0458,0.1009,0.02407,0.0458,3550,7,2514,281,149,0.0,0.0
81,157,464,146,1596,980,1607,0.4208,0.018000000000000002,273,0.0076,81,29,0.0265,0.1388,0.012199999999999999,0.0225,1379,5,1436,152,52,3.16,1.5
82,161,461,153,1634,817,1643,0.4276,0.0152,243,0.006500000000000001,105,25,0.023700000000000002,0.12539999999999998,0.01069,0.0213,1386,10,1480,208,46,1.2,1.3
83,167,460,165,2084,1251,2105,0.33270000000000005,0.0271,318,0.009000000000000001,123,57,0.0446,0.1398,0.018959999999999998,0.0373,2398,4,1916,260,99,0.0,0.0
84,170,459,420,2981,1812,3001,0.2874,0.021,492,0.006,192,63,0.0341,0.16949999999999998,0.0181,0.038599999999999995,3262,10,2533,410,99,0.0,0.0
85,159,456,209,2454,1319,2472,0.3482,0.017,386,0.0059,133,42,0.0336,0.1481,0.01462,0.0316,2518,11,2240,436,83,0.0,0.0
86,147,451,229,1927,1117,1941,0.3619,0.0144,212,0.0052,49,28,0.022799999999999997,0.0966,0.010129999999999998,0.0273,1833,8,1688,165,49,2.0,1.62
87,147,450,177,1242,645,1254,0.37420000000000003,0.011200000000000002,150,0.0042,59,14,0.0169,0.1043,5.23,0.022400000000000003,1000,6,1054,122,25,1.12,0.62
88,120,449,339,2255,1110,2267,0.3458,0.0163,284,0.005600000000000001,114,37,0.0268,0.11800000000000001,0.01279,0.0239,1635,8,1899,236,65,2.88,1.44
89,152,448,205,1640,1038,1661,0.3177,0.0108,159,0.0034000000000000002,42,18,0.0165,0.0962,5.71,0.0276,1484,5,1430,126,26,1.2,2.4
90,156,447,290,4027,3104,4059,0.3918,0.0128,589,0.005,167,52,0.0277,0.1423,0.02037,0.027999999999999997,3277,15,3702,246,115,1.6,0.46
91,154,447,206,1588,894,1600,0.4277,0.008100000000000001,183,0.0034999999999999996,88,13,0.011399999999999999,0.1024,5.55,0.0246,1450,3,1373,140,21,3.33,1.0
92,112,447,274,1909,982,1925,0.32630000000000003,0.0301,122,0.0098,53,58,0.053200000000000004,0.0634,0.01892,0.0232,951,8,1597,130,102,2.25,0.25
93,164,446,316,2721,1596,2740,0.2998,0.0175,430,0.0053,135,48,0.028300000000000002,0.1575,0.014379999999999999,0.038,2879,20,2371,303,78,0.0,0.0
94,143,443,228,1966,1032,1992,0.3973,0.0166,227,0.0066,77,33,0.0275,0.1023,0.01311,0.0259,1703,8,1734,172,60,1.88,0.66
95,177,441,184,1887,1148,1904,0.3165,0.0163,277,0.0052,123,31,0.0292,0.1297,9.81,0.0374,2266,9,1677,227,65,0.0,0.0
96,113,440,238,1550,814,1565,0.3749,0.0281,104,0.0105,46,44,0.06509999999999999,0.0722,0.01649,0.0231,796,5,1294,66,98,1.6,0.4
97,145,438,191,2080,1296,2097,0.304,0.0138,269,0.0042,81,29,0.026600000000000002,0.13970000000000002,8.81,0.034,2007,12,1884,270,51,0.0,0.0
98,145,438,206,1942,1132,1967,0.5164,0.011699999999999999,271,0.006,116,23,0.028300000000000002,0.1223,0.01187,0.027200000000000002,1851,9,1737,271,64,1.16,0.83
99,144,437,229,3161,2130,3188,0.2859,0.0097,339,0.0028000000000000004,144,31,0.0159,0.11900000000000001,8.86,0.0346,3281,6,2927,259,45,0.0,0.0
100,153,437,188,1633,893,1649,0.3306,0.022400000000000003,280,0.0074,74,37,0.0407,0.1438,0.012230000000000001,0.0318,1452,6,1435,263,71,0.0,0.0
101,148,434,144,1834,1123,1852,0.2862,0.013500000000000002,229,0.0039000000000000003,71,25,0.0189,0.127,7.15,0.0274,1774,4,1692,156,33,2.0,1.66
102,149,434,196,1638,881,1648,0.43229999999999996,0.0109,216,0.004699999999999999,78,18,0.0229,0.1183,7.78,0.0248,1186,4,1422,189,42,2.0,2.0
103,139,434,219,1864,1082,1884,0.39159999999999995,0.0127,237,0.005,58,24,0.024300000000000002,0.121,9.39,0.0338,1979,4,1648,216,49,4.0,2.0
104,108,433,732,2326,1216,2339,0.35700000000000004,0.021400000000000002,267,0.0076,83,50,0.0394,0.13140000000000002,0.01784,0.022799999999999997,1177,9,1560,259,82,1.3,1.0
105,157,433,117,1277,717,1289,0.5657,0.0147,276,0.0083,52,19,0.023700000000000002,0.1478,0.010740000000000001,0.024399999999999998,1143,7,1151,213,55,0.9,0.7
106,170,432,201,1895,1004,1907,0.2414,0.0199,255,0.0048,88,38,0.028300000000000002,0.1295,9.17,0.031200000000000002,1753,14,1679,289,53,0.0,0.0
107,133,432,224,1586,874,1602,0.3592,0.01,148,0.0036,48,16,0.0159,0.0855,5.74,0.0252,1335,6,1354,136,27,1.71,0.71
108,126,431,132,1285,757,1297,0.3576,0.0139,201,0.005,53,18,0.0207,0.14800000000000002,6.43,0.0218,913,7,1148,168,26,1.09,0.63
109,158,430,109,1130,646,1139,0.4436,0.0158,117,0.006999999999999999,41,18,0.0273,0.096,7.98,0.027999999999999997,1000,7,1004,259,33,1.09,0.27
110,168,429,186,2057,1265,2074,0.5092,0.013500000000000002,197,0.0069,64,28,0.0264,0.08380000000000001,0.01425,0.0308,1912,17,1854,213,62,0.68,0.36
111,134,427,331,2011,1103,2025,0.38530000000000003,0.0183,286,0.006999999999999999,100,37,0.0286,0.12480000000000001,0.01425,0.0274,1496,8,1640,258,67,1.88,1.22
112,139,424,228,3855,2554,3882,0.24309999999999998,0.0206,511,0.005,172,80,0.029500000000000002,0.1335,0.01944,0.0548,5138,15,3612,371,113,0.0,0.0
113,95,422,234,1510,750,1518,0.35509999999999997,0.0072,119,0.0026,46,11,0.011899999999999999,0.07200000000000001,3.9,0.018600000000000002,787,4,1266,67,17,1.75,1.0
114,153,420,105,953,525,961,0.32299999999999995,0.0083,134,0.0027,64,8,0.01,0.12140000000000001,2.58,0.0222,782,1,851,81,12,4.0,6.0
115,158,418,277,2233,1455,2250,0.2981,0.014199999999999999,232,0.0042,113,32,0.0278,0.12369999999999999,9.53,0.027200000000000002,2003,12,1934,207,53,0.0,0.0
116,147,418,227,1620,935,1640,0.32789999999999997,0.0128,184,0.0042,44,21,0.0161,0.0911,6.88,0.0242,1215,8,1391,172,27,2.12,0.37
117,132,418,146,1134,640,1145,0.3521,0.0148,142,0.0052,52,17,0.022799999999999997,0.1266,5.98,0.0212,870,6,983,97,27,2.0,0.57
118,166,418,157,1163,604,1175,0.41259999999999997,0.023799999999999998,187,0.0098,87,28,0.037200000000000004,0.1472,0.01155,0.022799999999999997,996,4,998,311,49,4.0,2.2
119,131,418,273,2015,1178,2036,0.2916,0.0088,261,0.0026,73,18,0.015,0.12539999999999998,5.24,0.0229,1451,9,1730,177,31,1.66,0.33
120,160,418,171,1317,722,1332,0.3795,0.0323,173,0.0123,57,43,0.048799999999999996,0.12560000000000002,0.016319999999999998,0.023399999999999997,927,8,1132,144,70,1.37,0.87
121,159,416,195,2439,1751,2447,0.40619999999999995,0.011899999999999999,209,0.0048,54,29,0.0206,0.0872,0.011770000000000001,0.0308,2151,5,2215,171,53,2.8,1.8
122,133,415,154,1362,814,1380,0.3835,0.0109,140,0.0042,28,15,0.0149,0.10460000000000001,5.75,0.0229,922,6,1203,125,21,0.75,1.37
123,137,413,190,1642,905,1654,0.3064,0.0242,266,0.0074,81,40,0.0383,0.1407,0.01225,0.0264,1252,5,1445,210,69,4.33,1.66
124,132,410,215,1954,1132,1968,0.3011,0.012199999999999999,230,0.0037,104,24,0.0154,0.1106,7.22,0.0268,1796,3,1735,156,32,5.33,3.0
125,131,408,108,1061,644,1063,0.2518,0.0075,108,0.0019,47,8,0.0108,0.0967,2.01,0.020099999999999996,781,1,947,97,12,7.0,3.0
126,150,406,190,1726,913,1746,0.3019,0.0206,307,0.0062,84,36,0.0297,0.15560000000000002,0.010860000000000002,0.0274,1627,10,1536,392,60,1.3,1.53
127,168,405,167,1473,861,1484,0.2907,0.0216,224,0.0063,55,32,0.032400000000000005,0.1464,9.3,0.032799999999999996,1563,8,1291,130,49,0.0,0.0
128,135,401,216,1520,775,1536,0.35719999999999996,0.0091,132,0.0033,56,14,0.015,0.085,5.0,0.0219,1091,11,1294,118,25,0.83,0.83
129,143,400,218,1778,1024,1797,0.4293,0.0529,218,0.0227,74,95,0.0892,0.1043,0.040780000000000004,0.026600000000000002,1648,5,1547,166,192,3.6,1.8
130,173,399,249,2246,1231,2269,0.2876,0.0269,334,0.0077,140,61,0.0388,0.1386,0.01754,0.0313,2292,12,1991,249,94,0.0,0.0
131,129,398,192,2579,1792,2603,0.2339,0.015,276,0.0034999999999999996,101,39,0.0232,0.10279999999999999,9.12,0.061200000000000004,3264,16,2379,208,63,0.0,0.0
132,107,397,193,1301,675,1314,0.3129,0.0175,121,0.0055000000000000005,54,23,0.0263,0.0924,7.19,0.0218,674,7,1088,99,35,1.28,0.57
133,151,396,132,1443,790,1451,0.37670000000000003,0.018600000000000002,196,0.006999999999999999,60,27,0.0281,0.1167,0.010169999999999998,0.022400000000000003,1215,8,1304,172,47,1.75,1.5
134,170,395,243,3149,2284,3172,0.3638,0.0148,518,0.0054,148,47,0.030699999999999998,0.1456,0.01709,0.0318,3047,9,2890,300,105,1.9,0.6
135,138,395,257,2361,1651,2377,0.3084,0.011399999999999999,271,0.0034999999999999996,83,27,0.018500000000000003,0.1243,8.32,0.032799999999999996,2299,1,2096,194,44,0.022000000000000002,6.0
136,160,395,147,1196,690,1210,0.3301,0.015700000000000002,196,0.0052,59,19,0.0178,0.1411,6.27,0.0235,874,8,1032,209,24,1.44,0.77
137,128,394,145,1687,1147,1699,0.34659999999999996,0.01,149,0.0034999999999999996,43,17,0.0264,0.1054,5.89,0.0256,1339,6,1530,117,36,1.71,0.85
138,134,394,171,1457,797,1471,0.345,0.017,134,0.0059,51,25,0.023700000000000002,0.0848,8.62,0.0252,1263,8,1282,116,36,2.37,1.25
139,181,394,146,1071,607,1083,0.3386,0.0194,116,0.0066,31,21,0.0278,0.09789999999999999,7.1,0.0233,803,6,909,127,33,1.87,0.5
140,154,393,233,3269,2082,3292,0.3246,0.0109,585,0.0034999999999999996,209,36,0.019299999999999998,0.14880000000000002,0.01168,0.033,2988,17,3024,320,71,1.64,0.64
141,165,393,195,2170,1312,2188,0.345,0.0229,382,0.0079,107,50,0.039,0.1379,0.01724,0.0304,1789,15,1941,385,102,2.37,0.75
142,148,393,227,2013,1179,2029,0.3273,0.0103,204,0.0034000000000000002,72,21,0.020099999999999996,0.10529999999999999,6.87,0.0308,2082,7,1787,208,40,1.45,0.45
143,159,388,180,1172,670,1181,0.32899999999999996,0.0102,168,0.0033,72,12,0.013500000000000002,0.1211,3.94,0.024399999999999998,965,4,970,174,18,1.5,1.0
144,104,386,207,1220,627,1231,0.3131,0.006500000000000001,159,0.002,33,8,0.0095,0.06860000000000001,2.5,0.0215,559,3,996,63,11,2.0,1.0
145,127,385,195,1724,1011,1740,0.429,0.0115,177,0.0049,53,20,0.022099999999999998,0.09789999999999999,8.58,0.0277,1320,2,1523,148,39,2.25,0.75
146,117,383,319,1780,966,1798,0.4042,0.0189,265,0.0076,82,34,0.0329,0.09630000000000001,0.01374,0.023799999999999998,1086,9,1446,144,59,2.11,0.88
