Dates,Clics,Ctr,Impressions,Bounces,Cr,Transactions,Av.session duration,Revenue,Ctr products list,Cart/details rate,Purchase / details rate,refunds,Exits ,New sessions,Av product price,Clics product list,Num.of products added to cart,Session value,Products list Ctr,Rpc,Session inclueded searches,Page/session,Av.number of product sold per transaction,Num.of times product included in a cart during the purchase process,Sessions
20180119,"204(0,10 %)","1,33 %","15.290(0,10 %)","11,76 %","1,71 %","15(0,10 %)",0:02:09,"595,76 €(0,12 %)","2,44 %","10,84 %","3,39 %","0(0,00 %)","32,67 %","56,96 %","19,72 €","593(0,08 %)","101(0,09 %)","0,68 €","2,44 %","2,92 €","0,00 %","3,04",1,"101(0,11 %)","876(0,08 %)"
20180118,"257(0,12 %)","1,23 %","20.917(0,13 %)","13,87 %","2,10 %","21(0,14 %)",0:02:24,"580,35 €(0,12 %)","2,27 %","12,88 %","2,41 %","0(0,00 %)","28,44 %","56,59 %","19,20 €","739(0,10 %)","148(0,13 %)","0,58 €","2,27 %","2,26 €","1,30 %","3,51","1,15","116(0,13 %)","1.002(0,10 %)"
20180117,"332(0,16 %)","1,45 %","22.931(0,14 %)","15,00 %","1,28 %","15(0,10 %)",0:01:56,"482,99 €(0,10 %)","2,32 %","12,62 %","2,47 %","0(0,00 %)","34,50 %","53,88 %","13,24 €","732(0,09 %)","154(0,14 %)","0,41 €","2,32 %","1,45 €","0,34 %","2,87","1,29","92(0,10 %)","1.173(0,11 %)"
20180116,"296(0,14 %)","1,35 %","21.942(0,14 %)","12,50 %","4,20 %","41(0,27 %)",0:02:26,"1.144,92 €(0,23 %)","2,49 %","15,44 %","5,68 %","0(0,00 %)","30,99 %","54,41 %","18,33 €","677(0,09 %)","163(0,15 %)","1,17 €","2,49 %","3,87 €","0,41 %","3,19","1,03","193(0,21 %)","976(0,09 %)"
20180115,"293(0,14 %)","1,24 %","23.556(0,15 %)","12,11 %","2,61 %","30(0,20 %)",0:02:16,"955,88 €(0,19 %)","2,21 %","11,41 %","4,25 %","0(0,00 %)","29,42 %","51,83 %","17,03 €","739(0,10 %)","146(0,13 %)","0,83 €","2,21 %","3,26 €","0,52 %","3,37","1,1","163(0,18 %)","1.148(0,11 %)"
20180114,"400(0,19 %)","1,21 %","33.181(0,21 %)","13,47 %","0,97 %","15(0,10 %)",0:02:04,"347,01 €(0,07 %)","2,46 %","9,38 %","0,87 %","0(0,00 %)","32,46 %","44,82 %","23,13 €","1.167(0,15 %)","178(0,16 %)","0,22 €","2,46 %","0,87 €","0,58 %","3,06",1,"92(0,10 %)","1.544(0,15 %)"
20180113,"252(0,12 %)","1,09 %","23.057(0,14 %)","14,98 %","1,37 %","11(0,07 %)",0:02:03,"532,45 €(0,11 %)","2,36 %","12,87 %","3,19 %","0(0,00 %)","31,50 %","52,43 %","18,94 €","542(0,07 %)","113(0,10 %)","0,66 €","2,36 %","2,11 €","1,37 %","3,15","1,08","158(0,17 %)","801(0,08 %)"
20180112,"276(0,13 %)","1,16 %","23.809(0,15 %)","13,71 %","1,63 %","15(0,10 %)",0:01:55,"472,33 €(0,09 %)","2,40 %","11,88 %","2,25 %","0(0,00 %)","32,35 %","52,45 %","22,49 €","612(0,08 %)","128(0,12 %)","0,51 €","2,40 %","1,71 €","0,65 %","3,05",1,"126(0,14 %)","919(0,09 %)"
20180111,"354(0,17 %)","1,21 %","29.136(0,18 %)","14,70 %","2,60 %","28(0,19 %)",0:02:03,"685,28 €(0,14 %)","2,18 %","14,50 %","3,20 %","0(0,00 %)","33,74 %","55,16 %","18,62 €","597(0,08 %)","165(0,15 %)","0,64 €","2,18 %","1,94 €","0,37 %","2,94",1,"139(0,15 %)","1.075(0,10 %)"
20180110,"373(0,18 %)","1,33 %","28.045(0,17 %)","12,92 %","1,21 %","17(0,11 %)",0:02:23,"479,95 €(0,10 %)","2,63 %","12,37 %","1,63 %","0(0,00 %)","32,28 %","55,64 %","19,37 €","972(0,13 %)","195(0,18 %)","0,34 €","2,63 %","1,29 €","0,92 %","3,09",1,"199(0,21 %)","1.409(0,13 %)"
